,0
open_180,13338.423703090508
high_180,13347.625413907284
low_180,13328.849337748345
close_180,13337.726683222958
volume_180,1639.2831125827815
SMA_8_180,13338.576296909492
SMA_21_180,13339.961532902342
SMA_89_180,13347.115042971947
subcloseSMA_8_180,-0.8496136865342163
subcloseSMA_21_180,-2.2348496793860906
subcloseSMA_89_180,-9.388359748989275
subSMA_8close_180,0.8496136865342163
subSMA_8SMA_21_180,-1.3852359928518745
subSMA_8SMA_89_180,-8.538746062455058
subSMA_21close_180,2.2348496793860906
subSMA_21SMA_8_180,1.3852359928518745
subSMA_21SMA_89_180,-7.153510069603184
subSMA_89close_180,9.388359748989275
subSMA_89SMA_8_180,8.538746062455058
subSMA_89SMA_21_180,7.153510069603184
close_slope_180,-0.00012630378408436438
SMA_8_slope_180,-0.00012919871873362537
SMA_21_slope_180,-0.0001302732081655778
SMA_89_slope_180,-0.00012760286795803822
open_240,13338.423703090508
high_240,13348.989376379692
low_240,13327.349061810155
close_240,13337.450883002208
volume_240,2172.7908388520973
SMA_8_240,13338.86211713576
SMA_21_240,13340.73539498581
SMA_89_240,13350.161586613587
subcloseSMA_8_240,-1.411234133554084
subcloseSMA_21_240,-3.2845119836014236
subcloseSMA_89_240,-12.710703611379808
subSMA_8close_240,1.411234133554084
subSMA_8SMA_21_240,-1.8732778500473395
subSMA_8SMA_89_240,-11.299469477825724
subSMA_21close_240,3.2845119836014236
subSMA_21SMA_8_240,1.8732778500473395
subSMA_21SMA_89_240,-9.426191627778387
subSMA_89close_240,12.710703611379808
subSMA_89SMA_8_240,11.299469477825724
subSMA_89SMA_21_240,9.426191627778387
close_slope_240,-0.00012590156823185787
SMA_8_slope_240,-0.00012965132399129687
SMA_21_slope_240,-0.0001308760514558265
SMA_89_slope_240,-0.0001265214598370679
d,0.5071743929359823
